;0
0;C0000727
1;C0000731
2;C0000737
3;C0000786
4;C0000809
5;C0001122
6;C0001127
7;C0001824
8;C0001883
9;C0001925
10;C0002064
11;C0002170
12;C0002416
13;C0002418
14;C0002453
15;C0002622
16;C0002726
17;C0002871
18;C0002878
19;C0002880
20;C0002888
21;C0002962
22;C0003123
23;C0003126
24;C0003460
25;C0003467
26;C0003486
27;C0003537
28;C0003706
29;C0003811
30;C0003862
31;C0003864
32;C0003962
33;C0004093
34;C0004134
35;C0004238
36;C0004339
37;C0004352
38;C0004377
39;C0004604
40;C0004769
41;C0005682
42;C0005699
43;C0005758
44;C0005959
45;C0006057
46;C0006114
47;C0006157
48;C0006266
49;C0006267
50;C0006277
51;C0006285
52;C0006318
53;C0006370
54;C0006444
55;C0006625
56;C0006664
57;C0006840
58;C0007177
59;C0007398
60;C0007642
61;C0007758
62;C0007787
63;C0007859
64;C0007860
65;C0007971
66;C0008031
67;C0008033
68;C0008301
69;C0008350
70;C0008370
71;C0008767
72;C0009024
73;C0009080
74;C0009402
75;C0009421
76;C0009443
77;C0009676
78;C0009677
79;C0009763
80;C0009806
81;C0010043
82;C0010200
83;C0010201
84;C0010520
85;C0010692
86;C0010828
87;C0011168
88;C0011175
89;C0011253
90;C0011334
91;C0011551
92;C0011570
93;C0011606
94;C0011608
95;C0011615
96;C0011616
97;C0011620
98;C0011633
99;C0011644
100;C0011991
101;C0012556
102;C0012569
103;C0012739
104;C0012766
105;C0012798
106;C0012833
107;C0013132
108;C0013144
109;C0013312
110;C0013362
111;C0013384
112;C0013390
113;C0013395
114;C0013404
115;C0013415
116;C0013428
117;C0013456
118;C0013491
119;C0013528
120;C0013595
121;C0013604
122;C0013911
123;C0013922
124;C0013990
125;C0014034
126;C0014118
127;C0014306
128;C0014394
129;C0014457
130;C0014544
131;C0014583
132;C0014591
133;C0014724
134;C0014743
135;C0014745
136;C0014804
137;C0014868
138;C0014869
139;C0015230
140;C0015231
141;C0015300
142;C0015397
143;C0015672
144;C0015695
145;C0015934
146;C0015967
147;C0016059
148;C0016167
149;C0016199
150;C0016202
151;C0016204
152;C0016205
153;C0016242
154;C0016330
155;C0016382
156;C0016412
157;C0016479
158;C0016512
159;C0016579
160;C0016658
161;C0016663
162;C0016842
163;C0016927
164;C0017152
165;C0017181
166;C0017565
167;C0017574
168;C0017658
169;C0017672
170;C0017979
171;C0018021
172;C0018418
173;C0018520
174;C0018524
175;C0018681
176;C0018777
177;C0018800
178;C0018801
179;C0018808
180;C0018834
181;C0018862
182;C0018924
183;C0018926
184;C0018932
185;C0018944
186;C0018965
187;C0018989
188;C0018991
189;C0019054
190;C0019079
191;C0019080
192;C0019087
193;C0019114
194;C0019158
195;C0019189
196;C0019209
197;C0019214
198;C0019521
199;C0019572
200;C0019825
201;C0020175
202;C0020224
203;C0020255
204;C0020303
205;C0020437
206;C0020440
207;C0020443
208;C0020452
209;C0020458
210;C0020461
211;C0020473
212;C0020476
213;C0020488
214;C0020532
215;C0020538
216;C0020542
217;C0020555
218;C0020557
219;C0020578
220;C0020580
221;C0020598
222;C0020615
223;C0020619
224;C0020621
225;C0020625
226;C0020639
227;C0020649
228;C0020672
229;C0020678
230;C0021038
231;C0021167
232;C0021359
233;C0021847
234;C0022073
235;C0022081
236;C0022107
237;C0022116
238;C0022346
239;C0022354
240;C0022492
241;C0022504
242;C0022568
243;C0022660
244;C0022821
245;C0022822
246;C0023052
247;C0023067
248;C0023211
249;C0023212
250;C0023222
251;C0023380
252;C0023518
253;C0023530
254;C0023531
255;C0023890
256;C0024031
257;C0024103
258;C0024110
259;C0024143
260;C0024282
261;C0024312
262;C0024523
263;C0024904
264;C0025007
265;C0025160
266;C0025164
267;C0025222
268;C0025287
269;C0025289
270;C0025309
271;C0025323
272;C0025874
273;C0026034
274;C0026205
275;C0026266
276;C0026267
277;C0026470
278;C0026635
279;C0026821
280;C0026827
281;C0026838
282;C0026846
283;C0026848
284;C0026884
285;C0026946
286;C0026961
287;C0027051
288;C0027059
289;C0027066
290;C0027080
291;C0027092
292;C0027121
293;C0027145
294;C0027429
295;C0027497
296;C0027498
297;C0027697
298;C0027709
299;C0027726
300;C0027769
301;C0027947
302;C0028077
303;C0028081
304;C0028084
305;C0028643
306;C0028734
307;C0028738
308;C0028778
309;C0028961
310;C0029053
311;C0029089
312;C0029124
313;C0029134
314;C0029443
315;C0029456
316;C0029877
317;C0029882
318;C0029883
319;C0030193
320;C0030232
321;C0030252
322;C0030270
323;C0030293
